hts8,weighted_avg_tariff
1012100,0.00000000
1012900,0.00000026
1013000,0.01972252
1019030,0.00000000
1019040,0.01314847
1022100,0.00000000
1022920,0.00000000
1022940,0.00000000
1023100,0.00000000
1023900,0.00000000
1029000,0.00000000
1031000,0.00000000
1039100,0.00000000
1039200,0.00000000
1041000,0.00000000
1042000,0.00000000
1051100,0.00000000
1051200,0.00000000
1051300,0.00000000
1051400,0.00000000
1051500,0.00000000
1059400,0.00000000
1059900,0.00000000
1061100,0.00000019
1061201,0.00000019
1061300,0.00000019
1061400,0.00000019
1061930,0.01314841
1061991,0.00000019
1062000,0.00000019
1063100,0.00196263
1063200,0.00196263
1063300,0.00196263
1063901,0.00196263
1064100,0.00000019
1064900,0.00000019
1069001,0.00000019
2011005,0.00000000
2011010,0.00000000
2011050,0.09090618
2012002,0.01314847
2012004,0.03287080
2012006,0.00000000
2012010,0.01314847
2012030,0.03287080
2012050,0.00000000
2012080,0.09090618
2013002,0.01314847
2013004,0.03287080
2013006,0.00000000
2013010,0.01314847
2013030,0.03287080
2013050,0.00000000
2013080,0.09090618
2021005,0.00000000
2021010,0.00000000
2021050,0.09090618
2022002,0.01314847
2022004,0.03287080
2022006,0.00000000
2022010,0.01314847
2022030,0.03287080
2022050,0.00000000
2022080,0.09090618
2023002,0.00784974
2023004,0.03287080
2023006,0.00000000
2023010,0.00784974
2023030,0.03287080
2023050,0.00000000
2023080,0.09090618
2031100,0.00000000
2031210,0.00000000
2031290,0.00000000
2031920,0.00000000
2031940,0.00000000
2032100,0.00000000
2032210,0.00000000
2032290,0.00000000
2032920,0.00000000
2032940,0.00000000
2041000,0.00000000
2042100,0.00000000
2042220,0.00000000
2042240,0.00000000
2042320,0.00000000
2042340,0.00000000
2043000,0.00000000
2044100,0.00000000
2044220,0.00000000
2044240,0.00000000
2044320,0.00000000
2044340,0.00000000
2045000,0.00000000
2050000,0.00000000
2061000,0.00000039
2062100,0.00000039
2062200,0.00000039
2062900,0.00000039
2063000,0.00000039
2064100,0.00000039
2064900,0.00000039
2068000,0.00000039
2069000,0.00000039
2071100,0.00000000
2071200,0.00000000
2071300,0.00000000
2071400,0.00000000
2072400,0.00000000
2072520,0.00000000
2072540,0.03287086
2072600,0.00000000
2072700,0.00000000
2074100,0.00000000
2074200,0.00000000
2074300,0.00000000
2074400,0.00000000
2074500,0.00000000
2075100,0.00000000
2075200,0.00000000
2075300,0.00000000
2075400,0.00000000
2075500,0.00000000
2076010,0.00000000
2076020,0.00000000
2076030,0.00000000
2076040,0.00000000
2076060,0.00000000
2081000,0.01972258
2083000,0.01972258
2084001,0.01972258
2085000,0.01972258
2086000,0.01972258
2089020,0.00000000
2089025,0.00000013
2089030,0.00000000
2089091,0.01972258
2091000,0.00588737
2099000,0.00588737
2101100,0.00000000
2101200,0.00000000
2101900,0.00000000
2102000,0.00000039
2109100,0.00392500
2109201,0.00392500
2109300,0.00392500
2109920,0.00392500
2109991,0.00392500
3011100,0.00000000
3011900,0.00000000
3019100,0.00000000
3019200,0.00000000
3019302,0.00000000
3019401,0.00000000
3019500,0.00000000
3019903,0.00000000
3021100,0.00000000
3021300,0.00000000
3021400,0.00000000
3021900,0.00000000
3022100,0.00000000
3022200,0.00000000
3022300,0.00000000
3022400,0.00000000
3022901,0.00000000
3023100,0.00000000
3023200,0.00000000
3023300,0.00000000
3023400,0.00000000
3023501,0.00000000
3023600,0.00000000
3023902,0.00000000
3024100,0.00000000
3024200,0.00000000
3024300,0.00000000
3024400,0.00000000
3024511,0.00588744
3024550,0.00000000
3024611,0.00588744
3024650,0.00000000
3024700,0.00000000
3024900,0.00000000
3025100,0.00000000
3025200,0.00000000
3025300,0.00000000
3025411,0.00588744
