hts8,weighted_avg_tariff
1012100,0.00000000
1012900,0.00000029
1013000,0.02270575
1019030,0.00000000
1019040,0.01502601
1022100,0.00000000
1022920,0.00000000
1022940,0.00000000
1023100,0.00000000
1023900,0.00000000
1029000,0.00000000
1031000,0.00000000
1039100,0.00000000
1039200,0.00000000
1041000,0.00000000
1042000,0.00000000
1051100,0.00000000
1051200,0.00000000
1051300,0.00000000
1051400,0.00000000
1051500,0.00000000
1059400,0.00000000
1059900,0.00000000
1061100,0.00000022
1061201,0.00000022
1061300,0.00000022
1061400,0.00000022
1061930,0.01602765
1061991,0.00000022
1062000,0.00000022
1063100,0.00348946
1063200,0.00348946
1063300,0.00348946
1063901,0.00348946
1064100,0.00000022
1064900,0.00000022
1069001,0.00000022
2011005,0.00000000
2011010,0.00000000
2011050,0.09314064
2012002,0.01335649
2012004,0.03339077
2012006,0.00000000
2012010,0.01335649
2012030,0.03339077
2012050,0.00000000
2012080,0.09314064
2013002,0.01335649
2013004,0.03339077
2013006,0.00000000
2013010,0.01335649
2013030,0.03339077
2013050,0.00000000
2013080,0.09314064
2021005,0.00000000
2021010,0.00000000
2021050,0.09314064
2022002,0.01335649
2022004,0.03339077
2022006,0.00000000
2022010,0.01335649
2022030,0.03339077
2022050,0.00000000
2022080,0.09314064
2023002,0.00775400
2023004,0.03339077
2023006,0.00000000
2023010,0.00775400
2023030,0.03339077
2023050,0.00000000
2023080,0.09314064
2031100,0.00000000
2031210,0.00000000
2031290,0.00000000
2031920,0.00000000
2031940,0.00000000
2032100,0.00000000
2032210,0.00000000
2032290,0.00000000
2032920,0.00000000
2032940,0.00000000
2041000,0.00000000
2042100,0.00000000
2042220,0.00000000
2042240,0.00000000
2042320,0.00000000
2042340,0.00000000
2043000,0.00000000
2044100,0.00000000
2044220,0.00000000
2044240,0.00000000
2044320,0.00000000
2044340,0.00000000
2045000,0.00000000
2050000,0.00000000
2061000,0.00000044
2062100,0.00000044
2062200,0.00000044
2062900,0.00000044
2063000,0.00000044
2064100,0.00000044
2064900,0.00000044
2068000,0.00000044
2069000,0.00000044
2071100,0.00000000
2071200,0.00000000
2071300,0.00000000
2071400,0.00000000
2072400,0.00000000
2072520,0.00000000
2072540,0.03339085
2072600,0.00000000
2072700,0.00000000
2074100,0.00000000
2074200,0.00000000
2074300,0.00000000
2074400,0.00000000
2074500,0.00000000
2075100,0.00000000
