hts8,weighted_avg_tariff
1012100,0.00000000
1012900,0.00000033
1013000,0.02220837
1019030,0.00000000
1019040,0.01480575
1022100,0.00000000
1022920,0.00000000
1022940,0.00000000
1023100,0.00000000
1023900,0.00000000
1029000,0.00000000
1031000,0.00000000
1039100,0.00000000
1039200,0.00000000
1041000,0.00000000
1042000,0.00000000
1051100,0.00000000
1051200,0.00000000
1051300,0.00000000
1051400,0.00000000
1051500,0.00000000
1059400,0.00000000
1059900,0.00000000
1061100,0.00000025
1061201,0.00000025
1061300,0.00000025
1061400,0.00000025
1061930,0.01480567
1061991,0.00000025
1062000,0.00000025
1063100,0.00229950
1063200,0.00229950
1063300,0.00229950
1063901,0.00229950
1064100,0.00000025
1064900,0.00000025
1069001,0.00000025
2011005,0.00000000
2011010,0.00000000
2011050,0.10244114
2012002,0.01480575
2012004,0.03701387
2012006,0.00000000
2012010,0.01480575
2012030,0.03701387
2012050,0.00000000
2012080,0.10244114
2013002,0.01480575
2013004,0.03701387
2013006,0.00000000
2013010,0.01480575
2013030,0.03701387
2013050,0.00000000
2013080,0.10244114
2021005,0.00000000
2021010,0.00000000
2021050,0.10244114
2022002,0.01480575
2022004,0.03701387
2022006,0.00000000
2022010,0.01480575
2022030,0.03701387
2022050,0.00000000
2022080,0.10244114
2023002,0.00919701
2023004,0.03701387
2023006,0.00000000
2023010,0.00919701
2023030,0.03701387
2023050,0.00000000
2023080,0.10244114
2031100,0.00000000
2031210,0.00000000
2031290,0.00000000
2031920,0.00000000
2031940,0.00000000
2032100,0.00000000
2032210,0.00000000
2032290,0.00000000
2032920,0.00000000
2032940,0.00000000
2041000,0.00000000
2042100,0.00000000
2042220,0.00000000
2042240,0.00000000
2042320,0.00000000
2042340,0.00000000
2043000,0.00000000
2044100,0.00000000
2044220,0.00000000
2044240,0.00000000
2044320,0.00000000
2044340,0.00000000
2045000,0.00000000
2050000,0.00000000
2061000,0.00000050
2062100,0.00000050
2062200,0.00000050
2062900,0.00000050
2063000,0.00000050
2064100,0.00000050
2064900,0.00000050
2068000,0.00000050
2069000,0.00000050
2071100,0.00000000
2071200,0.00000000
2071300,0.00000000
2071400,0.00000000
2072400,0.00000000
2072520,0.00000000
2072540,0.03701396
2072600,0.00000000
2072700,0.00000000
2074100,0.00000000
2074200,0.00000000
2074300,0.00000000
2074400,0.00000000
2074500,0.00000000
2075100,0.00000000
2075200,0.00000000
2075300,0.00000000
2075400,0.00000000
2075500,0.00000000
2076010,0.00000000
2076020,0.00000000
2076030,0.00000000
2076040,0.00000000
2076060,0.00000000
2081000,0.02220846
2083000,0.02220846
2084001,0.02220846
2085000,0.02220846
2086000,0.02220846
2089020,0.00000000
2089025,0.00000017
2089030,0.00000000
2089091,0.02220846
2091000,0.00689784
2099000,0.00689784
2101100,0.00000000
2101200,0.00000000
2101900,0.00000000
2102000,0.00000050
2109100,0.00459867
2109201,0.00459867
2109300,0.00459867
2109920,0.00459867
2109991,0.00459867
3011100,0.00000000
3011900,0.00000000
3019100,0.00000000
3019200,0.00000000
3019302,0.00000000
3019401,0.00000000
3019500,0.00000000
3019903,0.00000000
3021100,0.00000000
3021300,0.00000000
3021400,0.00000000
3021900,0.00000000
3022100,0.00000000
3022200,0.00000000
3022300,0.00000000
3022400,0.00000000
3022901,0.00000000
3023100,0.00000000
3023200,0.00000000
3023300,0.00000000
3023400,0.00000000
3023501,0.00000000
3023600,0.00000000
3023902,0.00000000
3024100,0.00000000
3024200,0.00000000
3024300,0.00000000
3024400,0.00000000
3024511,0.00689792
3024550,0.00000000
3024611,0.00689792
3024650,0.00000000
3024700,0.00000000
3024900,0.00000000
3025100,0.00000000
3025200,0.00000000
3025300,0.00000000
3025411,0.00689792
3025450,0.00000000
3025511,0.00689792
3025550,0.00000000
3025611,0.00689792
3025650,0.00000000
3025911,0.00689792
3025950,0.00000000
3027111,0.00689792
3027150,0.00000000
3027211,0.00689792
3027250,0.00000000
3027311,0.00689792
3027350,0.00000000
3027400,0.00000000
3027911,0.00689792
3027950,0.00000000
3028100,0.00000000
3028200,0.00000000
3028300,0.00000000
3028411,0.00689792
3028450,0.00000000
3028511,0.00689792
3028550,0.00000000
3028911,0.00689792
3028950,0.00000000
3029120,0.03729029
3029140,0.00000000
3029200,0.00000000
3029900,0.00000000
3031100,0.00000000
3031200,0.00000000
3031300,0.00000000
3031400,0.00000000
3031901,0.00000000
3032300,0.00000000
3032400,0.00000000
3032501,0.00000000
3032600,0.00000000
3032901,0.00000000
3033100,0.00000000
3033200,0.00000000
3033300,0.00000000
3033400,0.00000000
3033901,0.00000000
3034100,0.00000000
3034200,0.00000000
3034300,0.00000000
3034400,0.00000000
3034501,0.00000000
3034600,0.00000000
3034902,0.00000000
3035100,0.00000000
3035300,0.00000000
3035400,0.00000000
3035500,0.00000000
3035600,0.00000000
3035700,0.00000000
3035900,0.00000000
3036300,0.00000000
3036400,0.00000000
3036500,0.00000000
3036600,0.00000000
3036700,0.00000000
3036800,0.00000000
3036900,0.00000000
3038100,0.00000000
3038200,0.00000000
3038300,0.00000000
3038400,0.00000000
3038900,0.00000000
3039120,0.03729029
3039140,0.00000000
3039200,0.00000000
3039900,0.00000000
3043100,0.00000000
3043200,0.00000000
3043300,0.00000000
3043900,0.00000000
3044100,0.00000000
3044200,0.00000000
3044300,0.00000000
3044400,0.00000000
3044500,0.00000000
3044600,0.00000000
3044700,0.00000000
3044800,0.00000000
3044901,0.00000000
3045101,0.00000000
3045200,0.00000000
3045300,0.00000000
3045400,0.00000000
3045500,0.00000000
3045600,0.00000000
3045700,0.00000000
3045900,0.00000000
3046100,0.00000000
3046200,0.00000000
3046300,0.00000000
3046900,0.00000000
3047110,0.00000000
3047150,0.00000000
3047210,0.00000000
3047250,0.00000000
3047310,0.00000000
3047350,0.00000000
3047410,0.00000000
3047450,0.00000000
3047510,0.00000000
3047550,0.00000000
3047910,0.00000000
3047950,0.00000000
3048110,0.00000000
3048150,0.00000000
3048210,0.00000000
3048250,0.00000000
3048310,0.00000000
3048350,0.00000000
3048400,0.00000000
3048500,0.00000000
3048600,0.00000000
3048700,0.00000000
3048800,0.00000000
3048910,0.00000000
3048950,0.00000000
3049110,0.00000000
3049190,0.01379542
3049210,0.00000000
3049290,0.01379542
3049310,0.00000000
3049390,0.01379542
3049410,0.00000000
3049490,0.01491634
3049510,0.00000000
3049590,0.01491634
3049600,0.01491634
3049700,0.01491634
3049911,0.00000000
3049991,0.01491634
3051020,0.00000000
3051040,0.01491634
3052020,0.01609468
3052040,0.00000000
3053101,0.00000000
3053200,0.00000000
3053920,0.01480583
3053940,0.01850719
3053961,0.00000000
3054100,0.01850719
3054200,0.00000000
3054300,0.00000000
3054401,0.00000000
3054920,0.00000042
3054940,0.00000000
3055100,0.00000000
3055200,0.00000000
3055300,0.00000000
3055400,0.00000000
3055900,0.00000000
3056120,0.01480583
3056140,0.00000000
3056200,0.00000000
3056320,0.01243035
3056340,0.00000002
3056360,0.00000003
3056410,0.00000042
3056450,0.00124301
3056910,0.00000000
3056920,0.01850719
3056930,0.00000000
3056940,0.01110448
3056950,0.00000042
3056960,0.00124301
3057100,0.00000000
3057200,0.00000000
3057900,0.00000000
3061100,0.00000000
3061200,0.00000000
3061420,0.01740215
3061440,0.00000000
3061500,0.00000000
3061600,0.00000000
3061700,0.00000000
3061900,0.00000000
3061901,0.00000000
3063100,0.00000000
3063200,0.00000000
3063320,0.01740215
3063340,0.00000000
3063400,0.00000000
3063500,0.00000000
3063600,0.00000000
3063900,0.00000000
3063901,0.00000000
3069100,0.00000000
3069200,0.00000000
3069320,0.01740215
3069340,0.00000000
3069400,0.00000000
3069500,0.00000000
3069900,0.00000000
3069901,0.00000000
3071100,0.00000000
3071200,0.00000000
3071901,0.00000000
3072100,0.00000000
3072200,0.00000000
3072901,0.00000000
3073100,0.00000000
3073200,0.00000000
3073901,0.00000000
3074200,0.00000000
3074300,0.00000000
3074901,0.00000000
3075100,0.00000000
3075200,0.00000000
3075901,0.00000000
3076000,0.01243027
3077100,0.00000000
3077200,0.00000000
3077901,0.00000000
3078100,0.00000000
3078200,0.00000000
3078300,0.00000000
3078400,0.00000000
3078700,0.00000000
3078800,0.00000000
3079102,0.00000000
3079103,0.00000000
3079200,0.00000000
3079201,0.00000000
3079902,0.00000000
3079903,0.00000000
3081100,0.00000000
3081200,0.00000000
3081901,0.00000000
3082100,0.00000000
3082200,0.00000000
3082901,0.00000000
3083000,0.00000000
3089000,0.00000000
3089001,0.00000000
3091005,0.00000000
3091090,0.01491634
3099010,0.00000000
3099020,0.00000000
3099030,0.00000000
3099040,0.00000000
3099050,0.00000000
3099060,0.00000000
3099090,0.00000000
4011000,0.00000000
4012020,0.00000000
4012040,0.00000000
4014002,0.00000000
4014005,0.00000000
4014025,0.00000000
4015002,0.00000000
4015005,0.00000000
4015025,0.00000000
4015042,0.00000000
4015050,0.00000000
4015075,0.00000000
4021005,0.00000000
4021010,0.00000000
4021050,0.00000000
4022102,0.00000000
4022105,0.00000000
4022125,0.00000000
4022127,0.00000000
4022130,0.00000000
4022150,0.00000000
4022173,0.00000000
4022175,0.00000000
4022190,0.00000000
4022905,0.06292360
4022910,0.08606694
4022950,0.07278119
4029103,0.00000000
4029106,0.00000000
4029110,0.00000000
4029130,0.00000000
4029170,0.00000000
4029190,0.00000000
4029903,0.00000000
4029906,0.00000000
4029910,0.00000000
4029930,0.00000000
4029945,0.00000000
4029955,0.00000000
4029968,0.06292360
4029970,0.08606694
4029990,0.07278119
4031005,0.07402742
4031010,0.10125487
4031050,0.08839355
4031090,0.06292335
4032005,0.07402742
4032010,0.10125487
4032050,0.08839355
4032090,0.06292335
4039002,0.00000000
4039004,0.00000000
4039016,0.00000000
4039020,0.00000000
4039037,0.00000000
4039041,0.00000000
4039045,0.00000000
4039047,0.00000000
4039051,0.00000000
4039055,0.00000000
4039057,0.00000000
4039061,0.00000000
4039065,0.00000000
