Data Type,HTS Number,Description,Year,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December
General CIF Imports Value,01012100,Live purebred breeding horses,2024,Value for: number,14983089.00,2971874.00,4758048.00,6099659.00,9326047.00,5712335.00,4814049.00,11174403.00,22246186.00,61664879.00,17847217.00,6331058.00
General CIF Imports Value,01012900,Live horses other than purebred breeding horses,2024,Value for: number,53494939.00,41125246.00,74110539.00,32278052.00,37993441.00,37615600.00,39136660.00,39355237.00,59800645.00,88517696.00,65331119.00,107412214.00
General CIF Imports Value,01013000,Live asses,2024,Value for: number,0.00,23787.00,0.00,6600.00,0.00,27419.00,0.00,0.00,0.00,7482.00,4001.00,84242.00
General CIF Imports Value,01022100,Live purebred breeding cattle,2024,Value for: number,1725243.00,1088686.00,1212943.00,1447161.00,1680022.00,2469536.00,907746.00,857090.00,887990.00,2177480.00,1959431.00,2197414.00
General CIF Imports Value,01022920,Cows imported specially for dairy purposes,2024,Value for: number,1110800.00,549601.00,728900.00,1509200.00,1625311.00,1464000.00,507512.00,500500.00,886520.00,1099200.00,991000.00,964900.00
General CIF Imports Value,01022940,Live cattle other than purebred or those imported for dairy purposes,2024,Value for: number,189409876.00,247394442.00,280839322.00,336215547.00,263394097.00,223267979.00,251193440.00,205538307.00,238992833.00,304505380.00,247986112.00,127686106.00
General CIF Imports Value,01023900,"Live buffalo, other than purebred breeding animals",2024,Value for: number,6041749.00,7617998.00,6196293.00,8531636.00,6403816.00,5859462.00,5869692.00,3945619.00,3992699.00,4506232.00,5104708.00,5856112.00
General CIF Imports Value,01029000,"Live bovine animals, other than cattle and buffalo",2024,Value for: number,0.00,0.00,0.00,41132.00,0.00,0.00,20566.00,0.00,0.00,3806.00,0.00,0.00
General CIF Imports Value,01031000,Live purebred breeding swine,2024,Value for: number,0.00,0.00,9266.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01039100,"Live swine, other than purebred breeding swine, weighing less than 50 kg each",2024,Value for: number,16103361.00,19871238.00,18683552.00,19193030.00,18950774.00,14340879.00,14345355.00,13816680.00,14723549.00,17697774.00,17020022.00,23312683.00
General CIF Imports Value,01039200,"Live swine, other than purebred breeding swine, weighing 50 kg or more",2024,Value for: number,24016459.00,27785696.00,31768776.00,32915981.00,34284125.00,31462773.00,29718406.00,27571688.00,29560335.00,32423342.00,29072257.00,28657191.00
General CIF Imports Value,01041000,Live sheep,2024,Value for: number,91046.00,85139.00,68826.00,34082.00,65162.00,62749.00,18987.00,40674.00,47323.00,60555.00,47640.00,45323.00
General CIF Imports Value,01051100,Live chickens weighing not over 185 g each,2024,Value for: number,759776.00,605599.00,1122321.00,1353654.00,1092576.00,1091338.00,1046964.00,591062.00,777289.00,1501621.00,313920.00,900786.00
General CIF Imports Value,01051200,Live turkeys weighing not more than over 185 g each,2024,Value for: number,1941750.00,1877974.00,1703458.00,2355866.00,1732795.00,1954563.00,2181780.00,2092493.00,1928237.00,1863019.00,1678517.00,1514507.00
General CIF Imports Value,01051300,"Live ducks, weighing not more than 185 g each",2024,Value for: number,181732.00,149073.00,173616.00,176954.00,182684.00,162591.00,176540.00,136627.00,125076.00,148881.00,143644.00,157861.00
General CIF Imports Value,01051400,"Live geese, weighing not more than 185 g each",2024,Value for: number,0.00,0.00,0.00,0.00,0.00,0.00,8338.00,0.00,0.00,0.00,0.00,2159.00
General CIF Imports Value,01059400,Live Poultry;Chickens,2024,Value for: number,0.00,6162.00,7289.00,0.00,151904.00,0.00,0.00,6988.00,0.00,2847.00,182780.00,2847.00
General CIF Imports Value,01059900,"Live ducks, geese, turkeys and guineas, weighing over 185 g each",2024,Value for: number,607134.00,297972.00,479876.00,1103295.00,721014.00,1466739.00,1375420.00,1549194.00,1093788.00,800949.00,634096.00,594305.00
General CIF Imports Value,01061100,Live primates,2024,Value for: number,6318738.00,9683219.00,12416427.00,3277235.00,10724134.00,11506170.00,15770559.00,2787502.00,12538013.00,17916061.00,25919318.00,8467482.00
General CIF Imports Value,01061300,Live camels and other camelids (Camelidae),2024,Value for: number,0.00,0.00,0.00,0.00,20001.00,0.00,0.00,20001.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01061400,Live rabbits and hares,2024,Value for: number,642490.00,523565.00,601207.00,445827.00,485344.00,427465.00,534710.00,586028.00,755245.00,530106.00,489557.00,347127.00
General CIF Imports Value,01061930,Live foxes,2024,Value for: number,0.00,0.00,13321.00,0.00,0.00,0.00,16267.00,0.00,0.00,0.00,0.00,14305.00
General CIF Imports Value,01061991,"Live mammals, not elsewhere specified or included",2024,Value for: number,5816406.00,6009383.00,7609335.00,7970436.00,5446536.00,5894203.00,6649828.00,5707145.00,6534640.00,6211623.00,5623942.00,4654736.00
General CIF Imports Value,01062000,Live reptiles (including snakes and turtles),2024,Value for: number,864532.00,932694.00,1382686.00,1345179.00,1713986.00,1212664.00,1452599.00,794499.00,975439.00,1654666.00,1186365.00,871511.00
General CIF Imports Value,01063100,Live birds of prey,2024,Value for: number,0.00,0.00,0.00,0.00,9245.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01063200,"Live psittaciforme birds (including parrots, parakeets, macaws and cockatoos)",2024,Value for: number,0.00,0.00,0.00,5797.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,01063300,Ostriches; emus,2024,Value for: number,0.00,0.00,5061.00,0.00,2719.00,0.00,0.00,0.00,0.00,0.00,0.00,63513.00
General CIF Imports Value,01063901,"Live birds, other than poultry, birds of prey or psittaciforme birds",2024,Value for: number,322834.00,135282.00,114429.00,169084.00,46481.00,39884.00,161419.00,290274.00,121870.00,183542.00,324175.00,49822.00
General CIF Imports Value,01064100,Bees,2024,Value for: kilograms,60895.00,89541.00,77572.00,118965.00,222201.00,238971.00,206663.00,221404.00,94824.00,57880.00,53809.00,42519.00
General CIF Imports Value,01064900,Live insects other than bees,2024,Value for: kilograms,1400582.00,1837752.00,6586280.00,4556649.00,1080603.00,927577.00,887029.00,1002547.00,707632.00,670688.00,724032.00,766953.00
