General Imports|Monthly data for 2025,,,,,,,,,,,,,,,,
Data Row Count,10946,,,,,,,,,,,,,,,
Data Type,HTS Number,Description,Year,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December
General CIF Imports Value,02011050,"Bovine carcasses and halves, fresh or chld., other than descr. in gen. note 15 or add. US note 3 to Ch. 2",2025,Value for: kilograms,3816274.00,3481376.00,4340064.00,3226182.00,3734352.00,4162099.00,2830761.00,3173499.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02012002,"High-qual. beef cuts w/bone in, processed, fresh or chld., descr in gen. note 15 of the HTS",2025,Value for: kilograms,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5182.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02012010,"High-qual. beef cuts, w/bone in, processed, fresh or chld., descr in add. US note 3 to Ch. 2",2025,Value for: kilograms,735178.00,612791.00,921277.00,682073.00,620453.00,713760.00,994120.00,741870.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02012030,"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, fresh or chld., descr in add. US note 3 to Ch. 2",2025,Value for: kilograms,2762816.00,2644696.00,4269986.00,3341050.00,3243975.00,3792849.00,3632227.00,3550935.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02012050,"Bovine meat cuts, w/bone in, not processed, fresh or chld., descr in add. US note 3 to Ch. 2",2025,Value for: kilograms,85139592.00,71942170.00,88136370.00,69328004.00,73523394.00,76661723.00,84186275.00,77856649.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02012080,"Bovine meat cuts, w/bone in, fresh or chld., not descr in gen. note 15 or add. US note 3 to Ch. 2",2025,Value for: kilograms,2716459.00,3955141.00,3096741.00,2692690.00,3075630.00,3645742.00,3463919.00,2555987.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02013010,"High-qual. beef cuts, boneless, processed, fresh or chld., descr in add. US note 3 to Ch. 2",2025,Value for: kilograms,3800815.00,3653834.00,3985494.00,3574608.00,4002333.00,4245587.00,4934804.00,4142592.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02013030,"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, fresh or chld., descr in add. US note 3 to Ch. 2",2025,Value for: kilograms,9649127.00,9042258.00,10932137.00,10060372.00,9725691.00,12694886.00,14192119.00,13478283.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02013050,"Bovine meat cuts, boneless, not processed, fresh or chld., descr in add. US note 3 to Ch. 2",2025,Value for: kilograms,396603903.00,327445474.00,412139127.00,361436847.00,373353750.00,381163524.00,441489525.00,493477375.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02013080,"Bovine meat cuts, boneless, fresh or chld., not descr in gen. note 15 or add. US note 3 to Ch. 2",2025,Value for: kilograms,20092773.00,23268913.00,35116721.00,38494539.00,37620384.00,31714912.00,42487129.00,28932590.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02021050,"Bovine carcasses and halves, frozen, other than descr. in gen. note 15 or add. US note 3 to Ch. 2",2025,Value for: kilograms,0.00,44692.00,0.00,0.00,0.00,284687.00,147002.00,181597.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02022002,"High-qual. beef cuts w/bone in, processed, frozen, descr in gen. note 15 of the HTS",2025,Value for: kilograms,193949.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02022010,"High-qual. beef cuts, w/bone in, processed, frozen, descr in add. US note 3 to Ch. 2",2025,Value for: kilograms,13309.00,27105.00,16019.00,23553.00,62682.00,10532.00,52212.00,72576.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02022050,"Bovine meat cuts, w/bone in, not processed, frozen, descr in add. US note 3 to Ch. 2",2025,Value for: kilograms,3896567.00,2482004.00,3685082.00,2737703.00,1628169.00,4765841.00,3967327.00,6437226.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02022080,"Bovine meat cuts, w/bone in, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2",2025,Value for: kilograms,4120493.00,6187964.00,11413988.00,12997729.00,8946407.00,15450525.00,12556035.00,12372880.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02023004,"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, frozen, descr in gen. note 15 of the HTS",2025,Value for: kilograms,0.00,0.00,0.00,0.00,0.00,0.00,2986.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02023006,"Bovine meat cuts, boneless, not processed, frozen, descr in gen. note 15 of the HTS",2025,Value for: kilograms,0.00,22405.00,83095.00,25808.00,53107.00,130531.00,0.00,91791.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02023010,"High-qual. beef cuts, boneless, processed, frozen, descr in add. US note 3 to Ch. 2",2025,Value for: kilograms,1155479.00,1555504.00,1233523.00,1104639.00,1768288.00,1295890.00,1506365.00,1349607.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02023030,"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, frozen, descr in add. US note 3 to Ch. 2",2025,Value for: kilograms,11710357.00,7322144.00,8383681.00,3011343.00,5470818.00,5637102.00,4677016.00,5682884.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02023050,"Bovine meat cuts, boneless, not processed, frozen, descr in add. US note 3 to Ch. 2",2025,Value for: kilograms,498319820.00,259103281.00,339789342.00,325338274.00,318959110.00,306604578.00,354927402.00,318901025.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02023080,"Bovine meat cuts, boneless, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2",2025,Value for: kilograms,109500560.00,171866601.00,246735668.00,265022067.00,410462536.00,223673979.00,180917315.00,114352602.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02031100,"Carcasses and half-carcasses of swine, fresh or chilled",2025,Value for: kilograms,0.00,0.00,0.00,0.00,0.00,2065.00,0.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02031210,"Fresh or chilled retail cuts of ham, shoulders and cuts thereof, with bone in",2025,Value for: kilograms,2101167.00,1751212.00,2243833.00,2058960.00,2078595.00,2450190.00,2017768.00,1617959.00,0.00,0.00,0.00,0.00
