Data Type,HTS Number,Description,Year,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December
General CIF Imports Value,01012100,Live purebred breeding horses,2023,Value for: number,13337876.00,3625500.00,4296349.00,2988337.00,3642422.00,11760866.00,8664404.00,4168534.00,7096724.00,47298823.00,13338729.00,11025176.00
General CIF Imports Value,01012900,Live horses other than purebred breeding horses,2023,Value for: number,72677409.00,32546104.00,30748901.00,34093409.00,40813693.00,32634029.00,36357765.00,56784402.00,37686777.00,104752799.00,50638459.00,97886489.00
General CIF Imports Value,01013000,Live asses,2023,Value for: number,4100.00,0.00,0.00,6000.00,0.00,0.00,0.00,0.00,0.00,4500.00,0.00,60354.00
General CIF Imports Value,01019040,Mules and hinnies not imported for immediate slaughter,2023,Value for: number,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5550.00,20100.00,0.00
General CIF Imports Value,01022100,Live purebred breeding cattle,2023,Value for: number,2939311.00,1589358.00,1410905.00,1376267.00,748394.00,1314497.00,1045178.00,1622335.00,1103225.00,1591913.00,2057286.00,2381872.00
General CIF Imports Value,01022920,Cows imported specially for dairy purposes,2023,Value for: number,1134046.00,471913.00,320832.00,473144.00,108313.00,200200.00,476600.00,680800.00,380271.00,600600.00,608200.00,900900.00
General CIF Imports Value,01022940,Live cattle other than purebred or those imported for dairy purposes,2023,Value for: number,148073706.00,165506520.00,224297579.00,185463073.00,175833696.00,166322932.00,146253608.00,177131244.00,235795803.00,259657004.00,285879026.00,200801103.00
General CIF Imports Value,01023900,"Live buffalo, other than purebred breeding animals",2023,Value for: number,6916032.00,5555454.00,6377208.00,6787520.00,8131625.00,7489321.00,6651989.00,6025110.00,6500707.00,7622899.00,6908415.00,6586214.00
General CIF Imports Value,01029000,"Live bovine animals, other than cattle and buffalo",2023,Value for: number,0.00,0.00,0.00,40481.00,14689.00,0.00,0.00,0.00,0.00,6500.00,4640.00,0.00
General CIF Imports Value,01031000,Live purebred breeding swine,2023,Value for: number,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,162766.00,0.00,0.00
General CIF Imports Value,01039100,"Live swine, other than purebred breeding swine, weighing less than 50 kg each",2023,Value for: number,22269237.00,19635129.00,21686200.00,12830351.00,11901062.00,11154387.00,11512744.00,12681263.00,11002897.00,13671139.00,15172208.00,14336845.00
General CIF Imports Value,01039200,"Live swine, other than purebred breeding swine, weighing 50 kg or more",2023,Value for: number,22599952.00,21834594.00,26202374.00,18611719.00,21507209.00,23963352.00,29245232.00,31499719.00,24125279.00,25632460.00,26394090.00,21117555.00
